Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
1,Christian McCaffrey,CAR,13,26,RB,RB1,2.4,2.4,2.4,2.4,2.4,1.3
2,Dalvin Cook,MIN,7,27,RB,RB2,7.2,7.2,7.2,7.2,7.2,2.5
3,Alvin Kamara,NO,6,27,RB,RB3,10.6,10.6,10.6,10.6,10.6,3.1
4,Davante Adams,GB,13,30,WR,WR1,12.4,12.4,12.4,12.4,12.4,4.5
5,Ezekiel Elliott,DAL,7,27,RB,RB4,27.3,27.3,27.3,27.3,27.3,5.3
6,Derrick Henry,TEN,13,29,RB,RB5,4.2,4.2,4.2,4.2,4.2,6.4
7,Austin Ekeler,LAC,7,27,RB,RB6,2.7,2.7,2.7,2.7,2.7,6.5
8,Travis Kelce,KC,12,33,TE,TE1,16.6,16.6,16.6,16.6,16.6,6.9
9,Aaron Jones,GB,13,28,RB,RB7,15.3,15.3,15.3,15.3,15.3,9
10,Tyreek Hill,KC,12,29,WR,WR2,22.7,22.7,22.7,22.7,22.7,9.3
11,Nick Chubb,CLE,13,27,RB,RB8,18.5,18.5,18.5,18.5,18.5,10.4
12,Najee Harris,PIT,7,25,RB,RB9,7,7,7,7,7,11.6
13,Saquon Barkley,NYG,10,26,RB,RB10,16,16,16,16,16,12.4
14,Stefon Diggs,BUF,7,29,WR,WR3,14,14,14,14,14,13
15,Jonathan Taylor,IND,14,24,RB,RB11,1.4,1.4,1.4,1.4,1.4,13.2
16,Antonio Gibson,WAS,9,24,RB,RB12,114.9,114.9,114.9,114.9,114.9,14.8
17,DeAndre Hopkins,ARI,12,30,WR,WR4,90.2,90.2,90.2,90.2,90.2,16.7
18,Calvin Ridley,ATL,6,28,WR,WR5,699,699,699,699,699,17.9
19,DK Metcalf,SEA,9,25,WR,WR6,50.9,50.9,50.9,50.9,50.9,18.5
20,Joe Mixon,CIN,10,26,RB,RB13,10,10,10,10,10,19.4
21,Clyde Edwards-Helaire,KC,12,23,RB,RB14,54.1,54.1,54.1,54.1,54.1,19.7
22,Patrick Mahomes,KC,12,27,QB,QB1,39.1,39.1,39.1,39.1,39.1,19.8
23,Darren Waller,LV,8,30,TE,TE2,50.2,50.2,50.2,50.2,50.2,21.6
24,Justin Jefferson,MIN,7,23,WR,WR7,4.9,4.9,4.9,4.9,4.9,22.6
25,A.J. Brown,TEN,13,25,WR,WR8,30.5,30.5,30.5,30.5,30.5,24.1
26,David Montgomery,CHI,10,25,RB,RB15,39.3,39.3,39.3,39.3,39.3,25.4
27,Keenan Allen,LAC,7,30,WR,WR9,29.3,29.3,29.3,29.3,29.3,25.9
28,James Robinson,JAX,7,24,RB,RB16,98.5,98.5,98.5,98.5,98.5,27.1
29,Chris Carson,SEA,9,28,RB,RB17,663,663,663,663,663,27.4
30,Terry McLaurin,WAS,9,27,WR,WR10,38,38,38,38,38,28.6
